epoch,accuracy,loss,lr,top_k_categorical_accuracy,val_accuracy,val_loss,val_top_k_categorical_accuracy
0,0.8378707766532898,0.5277847647666931,0.001,0.9725915193557739,0.3790999948978424,3.039825677871704,0.9900000095367432
1,0.9629542827606201,0.12394824624061584,0.001,0.9991481900215149,0.9872000217437744,0.04052656888961792,0.9998999834060669
2,0.973176121711731,0.08717062324285507,0.001,0.9993485808372498,0.9857000112533569,0.04534849151968956,0.9998999834060669
3,0.9790553450584412,0.0717201977968216,0.001,0.9992818236351013,0.9930999875068665,0.02356666326522827,0.9998000264167786
4,0.9823289513587952,0.06061128154397011,0.001,0.9997995495796204,0.9896000027656555,0.03513632342219353,0.9998999834060669
